Name,Made from,Country of origin,Region,Family,Type,Fat content (in dry matter),Fat content,Calcium content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers,Synonyms,Alternative spellings
Bavaria blu,pasteurized cow's milk,Germany,,Blue,"soft, blue-veined",,43.3-26.5 g/100g,450 mg/100g,creamy and soft,mold ripened ,cream,"creamy, sharp, strong","aromatic, rich", no ,Bergader Privatkäserei GmbH,,"Bavaria blu rich & creamy, Bavaria blu tasty blue, Bavaria blu fitness, Bavaria blu mini wheel"
Bavarian Bergkase,unpasteurized cow's milk,Germany,Allgaeu Alps,,"hard, artisan",,62%,,"crumbly, firm and open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich", no ,,"Allgauer Bergkase, Allgäuer Bergkäse DOP",Bawarii Bergkäse
Bayley Hazen Blue,unpasteurized cow's milk,United States,"Greensboro, VT",Blue,"semi-hard, artisan, blue-veined",,,,"creamy, dense and firm",natural,cream,"buttery, grassy, licorice, nutty, tangy","grassy, spicy, strong", no ,Jasper Hill Farm,,
Baylough,unpasteurized cow's milk,Ireland,Co. Tipperary,Cheddar,"hard, artisan",,,,close and firm,waxed,yellow,"herbaceous, mild, smokey ","herbal, mild",yes ,BAY LOUGH CHEESE,,Bay Lough
Beach Box Brie,cow's milk,Australia,"Mornington Peninsula, Melbourne",Brie,artisan,,,,creamy,ash coated,golden yellow,creamy,rich,yes ,BoatShed Cheese,,
Bear Hill,unpasteurized sheep's milk,United States,Vermont,,"semi-hard, smear-ripened",,,,smooth,washed,pale yellow,"fruity, mild, milky, nutty, sweet",,,Grafton Village Cheese Company,,
Beaufort,unpasteurized cow's milk,France,"Savoie, French Alps",Gruyere,firm,,34%,,creamy and smooth,,pale yellow,strong,"aromatic, pungent", no ,Entremont,,
Beaumont,unpasteurized cow's milk,France, Rhône-Alpes,,semi-soft,,50%,,creamy and smooth,washed,pale yellow,,"barnyardy, earthy, rich", no ,,,
Beauvoorde,cow's milk,Belgium,Flanders,,semi-hard,,,,creamy and firm,natural,yellow,mild,spicy,,,,
Beecher’s Flagship,pasteurized cow's milk,United States,"Seattle, Washington",Cheddar,"semi-hard, artisan",,,,creamy and crumbly,cloth wrapped,yellow,"creamy, full-flavored, nutty",,yes ,Beecher's,"Yule Käse, Flagship Reserve ",
Beehive Fresh,pasteurized cow's milk,United States,Utah,Mozzarella,"fresh soft, artisan",,,,buttery and soft,,pale yellow,"buttery, mild","buttery, fresh, mild",yes ,Beehive Cheese Company,,
Beemster 2% Milk,pasteurized cow's milk,"Canada, Denmark, France, Germany, Holland and United States",,,semi-soft,8%,5 g/100g,,smooth,,,nutty,"aromatic, floral, fruity", no ,"Beemster Cheese, CONO Kaasmakers / Beemster",,
Beemster Aged,pasteurized cow's milk,Holland and Netherlands,,Gouda,hard,,,,"crystalline, firm and smooth",natural,yellow,"full-flavored, smooth, spicy, strong",rich, no ,"Beemster Cheese, CONO Kaasmakers / Beemster",Beemster Old,
Beemster Classic,pasteurized cow's milk,Holland and Netherlands,,Gouda,semi-hard,,,,"creamy, firm and smooth",natural,yellow,"burnt caramel, salty, sharp, sweet","rich, strong", no ,"Beemster Cheese, CONO Kaasmakers / Beemster",,
Beemster Extra Aged,pasteurized cow's milk,Holland and Netherlands,,Gouda,hard,,,,"brittle, crumbly and grainy",natural,golden yellow,"butterscotch, nutty",aromatic, no ,"Beemster Cheese, CONO Kaasmakers / Beemster","Beemster X-O, Beemster Extra Old",
Beemster Graskaas,pasteurized cow's milk,Holland and Netherlands,,Gouda,semi-hard,,,,"creamy, open and smooth",natural,yellow,full-flavored,rich, no ,"Beemster Cheese, CONO Kaasmakers / Beemster",,
Beenleigh Blue,pasteurized sheep's milk,England and United Kingdom,Devon,Blue,"soft, blue-veined",,45-50%,,"crumbly, dense and smooth",natural,ivory,"burnt caramel, salty, spicy",nutty,yes ,Ticklemore Cheese ,,
Bega Processed Cheddar,pasteurized cow's milk,Australia,,Cheddar,soft,,,,creamy and smooth,,yellow,creamy,,,Bega Cheese Limited,,
Bel Ceillo,cow's milk,United States,NY,Parmesan,"semi-hard, artisan",,,,creamy and crumbly,natural,pale yellow,sharp,pungent,,Muranda Cheese Company,,
Bel Paese,pasteurized cow's milk,Italy,Lombardy,,semi-soft,,,,creamy and smooth,plastic,pale yellow,"buttery, mild, milky, sweet",pleasant, no ,Galbani,,
Bella Lodi,unpasteurized cow's milk,Italy,Lodi,Parmesan,"hard, artisan",,,,"crumbly, flaky and grainy",natural,white,full-flavored,"aromatic, rich",yes ,Lodigrana,Black Parmesan,"Lodigrana Bella Lodi, Bella Lodi Raspadura"
Belle Creme,pasteurized cow's milk,Canada,Québec,Brie,"soft, soft-ripened",,,,"buttery, creamy, smooth and soft-ripened",bloomy,white,"acidic, buttery, creamy, salty","mushroom, nutty",,La Maison Alexis de Portneuf Inc.,,
Belletoile,pasteurized cow's milk,France,,Brie,"soft, soft-ripened",,70%,,creamy,,,"garlicky, mild, mushroomy, nutty, tangy",mild, no ,Fromagerie Henri Hutin,,
Bellwether Farms Crescenza,pasteurized cow's milk,United States,"Sonoma, California",,"soft, artisan",,,,"buttery, soft-ripened and spreadable",rindless,ivory,"buttery, tart","buttery, rich",yes ,Bellwether Farms,Crescenza,
Benedictine,"pasteurized cow's, goat's and sheep's milk",United States,"La Velle, Wisconsin",,"semi-hard, artisan",,,,creamy,washed,yellow,,,,Carr Valley Cheese Company,,
Bent River,pasteurized cow's milk,United States,"Mankato, MN",Camembert,"soft, artisan, soft-ripened",,,,smooth and soft,bloomy,,"buttery, mellow, milky, subtle",mushroom,,Alemar Cheese,,
Bergader,cow's milk,Germany,,,,,,,,,,,, no ,Bergader Privatkäserei GmbH,,
Bergere Bleue,unpasteurized sheep's milk,United States,"Marathon, NY",Blue,"semi-soft, artisan, blue-veined",,,,"creamy, crumbly and smooth",mold ripened ,pale yellow,burnt caramel,"lanoline, rich, yeasty",yes ,Northland Sheep Dairy,,
Bergues,unpasteurized cow's milk,France, Bergues,,semi-hard,,15-25%,,smooth,washed,,"subtle, sweet",aromatic, no ,,,
Berkswell,unpasteurized sheep's milk,United Kingdom,West Midlands,Parmesan,"hard, smear-ripened",,48%,,"chewy, dense and firm",natural,pale yellow,acidic,goaty,yes ,"Berkswell Cheese Company , Ram Hall Farm",,
Bermondsey Hard Pressed,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Bermondsey, London",Cheddar,"hard, artisan",,,,"creamy, crumbly and open",natural,yellow,"creamy, nutty",barnyardy,,KAPPACASEIN DAIRY,,
Bermuda Triangle,pasteurized goat's milk,United States,California,Brie,"semi-soft, soft-ripened",,,,"creamy, crumbly, dense, firm and smooth",bloomy,white,"earthy, piquant, spicy, tangy","earthy, fresh, spicy",yes ,Cypress Grove Chevre,,
Bethmale des Pyrenees,cow's milk,France,Pyrenees,,semi-hard,,,,,natural,brownish yellow,mild,"aromatic, earthy, mushroom", no ,"Alléosse, French cheese club",,
Bettine Bleu,pasteurized goat's milk,Netherlands,,,semi-hard,,39.6 g/100g,,,,,,, no ,Bettinehoeve BV,,
Bettine Grand Cru,pasteurized goat's milk,Netherlands,,,semi-hard,,,,,,,"spicy, strong",strong, no ,Bettinehoeve BV,,
Beyaz Peynir,sheep's milk,Turkey,,,semi-soft,,,,,,,,,yes ,,,
Bianca,goat's and sheep's milk,United States,"Tieton, Washington",,"fresh soft, artisan",,,,soft and spreadable,rindless,ivory,"creamy, tangy","fresh, rich",,Tieton Farm & Creamery,,
Bianco ,cow's milk,Germany,,,semi-hard,,32.5 g/100g,725 mg/100g,"creamy, open and soft",natural,pale yellow,"buttery, garlicky, mild",, no ,Bergader Privatkäserei GmbH,,"Bianco Original, Bianco Garlic"
Bica de Queijo,"unpasteurized cow's, goat's and sheep's milk",Portugal,Póvoa de Lanhoso,,"semi-soft, artisan",,45%,,"creamy, firm, smooth and springy",natural,ivory,"buttery, mild, salty",goaty, no ,,,"Bolsa de queso, Queijo de Bica, bag of cheese"
Bierkase,pasteurized cow's milk,Germany,,Cheddar,"semi-soft, smear-ripened",,40%,,smooth,washed,pale yellow,"full-flavored, salty, tangy",strong, no ,Wisconsin Cheese,"Weisslacker, beer kaese, beer cheese, Whitewash, bierkäse",
Big John's Cajun,pasteurized cow's milk,United States,Utah,,"hard, artisan",,,,creamy and smooth,natural,pale yellow,"smooth, spicy","rich, spicy",yes ,Beehive Cheese Company,,
Big Rock Blue,pasteurized cow's milk,United States,California,Blue,"semi firm, artisan, blue-veined",,,,buttery and crumbly,rindless,ivory,"buttery, salty",mild,yes ,Central Coast Creamery ,,
Big Woods Blue,pasteurized sheep's milk,United States,Minnesota,Blue,"semi-hard, blue-veined",,,,firm,natural,ivory,"full-flavored, sharp, spicy, tangy","pronounced, sweet",yes ,Shepherd's Way Farms,,
Bijou,pasteurized goat's milk,United States,"Websterville, VT",,"semi-soft, artisan",,11%,,creamy and smooth,mold ripened ,,"sharp, sweet, tangy, yeasty","fresh, yeasty",,Vermont Creamery,,
Binnorie Marinated Fetta,cow's milk,Australia,"Pokolbin, Hunter Valley",Feta,"soft, brined",,,,creamy,natural,white,"herbaceous, mild, milky","clean, fresh, herbal",yes ,Binnorie Dairy,,Marinated Feta
Bishop Kennedy,cow's milk,Scotland,"Kinfauns, Perthshire",,soft,,45%,,smooth,washed,yellow,"creamy, strong",pungent,yes ,"Kinfauns Home Farm, Scotland",,
Bismark ,unpasteurized sheep's milk,United States,Vermont,,"semi-hard, artisan",,,,crumbly and firm,rindless,yellow,"buttery, creamy, nutty, sweet, tangy",,yes ,Grafton Village Cheese Company,,
Black Betty,pasteurized goat's milk,Holland,,,"hard, artisan",,,,firm,waxed,,,,,"Essex St. Cheese Co., Fromagerie L'Amuse",,
Black Pearl,goat's milk,Australia,"Mornington Peninsula, Melbourne",,"semi-hard, artisan",,,,firm,ash coated,,mild,fresh,yes ,BoatShed Cheese,Boatshed Black Pearl,
Blacksticks Blue,pasteurized cow's milk,"England, Great Britain and United Kingdom",Lancashire,Blue,"soft, blue-veined",,,,creamy and spreadable,mold ripened ,golden yellow,"creamy, tangy",,yes ,Butlers Farmhouse Cheeses,,
Blarney Castle,pasteurized cow's milk,Ireland,Blarney,Gouda,semi-soft,,,,creamy,natural,golden yellow,"smooth, tangy",, no ,Kerrygold,,
Blenda,unpasteurized cow's and sheep's milk,Sweden,Oviken ,,"hard, artisan",,30%,,,natural,yellow,"acidic, fruity, mild, nutty",,,Oviken cheese,,
Bleu Bénédictin,pasteurized cow's milk,Canada,Quebec,Blue,"semi-soft, artisan, blue-veined",,,,"creamy, crumbly and firm",natural,pale yellow,"creamy, salty, woody","mushroom, pleasant", no ,Fromagerie de l'Abbaye Saint-Benoît ,,
Bleu d'Auvergne,pasteurized or unpasteurized cow's milk,France,Auvergne,Blue,"semi-soft, artisan",,50%,,creamy and smooth,bloomy,ivory,"buttery, creamy, grassy, herbaceous, salty, spicy, tangy",strong, no ,,,
Bleu de Laqueuille,pasteurized cow's milk,France,Laqueuille,Blue,"soft, blue-veined",,30%,,creamy and smooth,natural,blue,"salty, spicy, tangy",earthy, no ,,,
Bleu Des Causses,unpasteurized cow's milk,France,"Languedoc, Midi Pyrenees",Blue,"semi-soft, blue-veined",,45%,,creamy,natural,blue,"salty, spicy","grassy, strong", no ,,,
Bleu L'Ermite,pasteurized cow's milk,Canada,Quebec,Blue,"semi-soft, artisan, blue-veined",,,,creamy and crumbly,natural,cream,"mushroomy, nutty, salty, sharp",fermented, no ,Abbey de Saint-Benoit-du-lac,"Blue Hermit, Bleu Ermite, Ermite (L')",
Bleu Mont Dairy Bandaged Cheddar,pasteurized cow's milk,United States,Wisconsin,Cheddar,"hard, artisan",,,,"crumbly, crystalline and flaky",cloth wrapped,yellow,"caramel, nutty, sweet",earthy, no ,,,
Bleubry,pasteurized cow's milk,Canada,Quebec,Blue,"soft, blue-veined",,37%,,"creamy, smooth and supple",mold ripened ,cream,"creamy, mild, savory",pungent, no ,La Maison Alexis de Portneuf Inc.,,
Blissful Blocks,,Canada and United States,,Cheddar,hard,,,,creamy and crumbly,plastic,yellow,"creamy, savory, sharp, spicy",,yes ,GO Veggie!,"Lactose & Soy Free Mozzarella Blocks, Lactose Free Mozzarella Blocks, Lactose & Soy Free Cheddar Blocks, Lactose Free Cheddar Blocks",
Blissful Toppings,,Canada and United States,,Parmesan,soft,,,,crumbly,artificial,yellow,"savory, sharp",,yes ,GO Veggie!,"Dairy Free Parmesan Grated Topping, Lactose Free Parmesan Grated Topping",
Bloomsdale,pasteurized goat's milk,United States,Bloomdale,Brie,"soft, artisan, soft-ripened",,,,"creamy, runny and soft-ripened",mold ripened ,white,"earthy, milky, tangy",, no ,Baetje Farms LLC,,
Blu '61,pasteurized cow's milk,Italy,Veneto,Blue,"soft, blue-veined",,,,creamy and soft,,white,"creamy, pronounced, strong","fruity, rich, sweet", no ,La Casearia Carpenedo S.r.l.,,
Blu Della Casera,pasteurized cow's and sheep's milk,Italy,Piedmont,,"soft, blue-veined",,54%,,soft,leaf wrapped,ivory,"creamy, strong",,,La Casera srl,,
Blu di Bufala,pasteurized water buffalo's milk,Italy,Lombardy,Blue,"semi-hard, artisan, blue-veined",,,,creamy and crumbly,natural,cream,"acidic, milky, sweet, tangy","fresh, milky", no ,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola,,
Blue Benedictine,,Canada,,,"semi-soft, blue-veined, soft-ripened",,,,"buttery, creamy, crumbly and smooth",natural,brownish yellow,"buttery, creamy, earthy, grassy, herbaceous, mushroomy, salty, smooth, sweet","buttery, earthy, grassy, herbal, mushroom, sweet",,"Benedictine Abbey of Saint-Benoît-du-Lac, Quebec.",,
Blue Castello,cow's milk,Denmark,,Blue,soft,,,,creamy and smooth,washed,blue,"buttery, tangy",,,,,
Blue Earth,pasteurized cow's milk,United States,"Mankato, MN",Brie,"soft, artisan, soft-ripened",,,,"creamy, runny, smooth and soft",bloomy,pale yellow,"buttery, grassy, smooth",,yes ,,,
Blue Ledge La Luna,unpasteurized goat's milk,United States,Vermont,Gouda,"semi-hard, artisan",,,,firm and smooth,waxed,white,"creamy, milky, tangy",grassy, no ,Blue Ledge,La Luna,
Blue Lupine,goat's milk,United States,California,Blue,"semi-soft, blue-veined",,,,creamy and dense,natural,,tangy,goaty,,Weirauch Farm and Creamery,,
Blue Rathgore,goat's milk,Ireland,County Antrim,Blue,"semi-soft, artisan",,,,creamy and crumbly,natural,ivory,"buttery, spicy",,yes ,,,
Blue Vein (Australian),pasteurized or unpasteurized cow's milk,Australia,,Blue,"semi-soft, blue-veined",,,,creamy and dense,natural,blue,"salty, sharp","stinky, strong",,King Island Dairy,,
Blue Vein Cheese,"pasteurized or unpasteurized cow's, goat's or sheep's milk",countries throughout the world,,Blue,"semi-soft, blue-veined",,,,creamy,,blue,"salty, sharp, tangy","stinky, strong", no ,,"Erborinato, Bleu cheese , Blue cheese ",
Blue Wensleydale ,pasteurized cow's milk,England,North Yorkshire,Blue,"hard, blue-veined",,,,close,cloth wrapped,blue,"acidic, salty, savory, sharp, strong",rich,yes ,Wensleydale Creamery,,
Blue Yonder,unpasteurized cow's milk,United States,NY,Blue,"semi-soft, blue-veined",,,,creamy,natural,white,subtle,rich,yes ,Lively Run Goat Dairy,,
Bluebell Falls Cygnus,goat's milk,Ireland,Co. Cork,,"fresh soft, artisan",,,,creamy and smooth,natural,white,"garlicky, herbaceous, sweet",,yes ,Bluebell Falls Goats Cheese,"Cygnus Pepper and Garlic Goats Cheese, Cygnus Honey Garlic and Thyme Goats Cheese, Cygnus Goats Cheese",
Blythedale Camembert,pasteurized cow's milk,United States,Vermont,Camembert,"soft, artisan",,,,creamy and dense,natural,ivory,"earthy, mushroomy",mild,yes ,Blythedale Farm Cheeses,,
Bocconcini,pasteurized cow's and water buffalo's milk,Italy,Campania ,Mozzarella,"semi-soft, brined",,6 g/100g,,creamy and springy,rindless,white,"buttery, mild, sweet",, no ,"La Casa Del Formaggio, Paesanella Cheese Manufacturers, St-Laurent, Québec ","bocconcini alla panna di bufala, bocconcino di bufala campana",
Boeren-Leidse met sleutels,unpasteurized cow's milk,Holland and Netherlands,Leiden ,Gouda,"hard, artisan",,30-40%,,crumbly and firm,waxed,yellow,"fruity, spicy","aromatic, rich", no ,Vereniging van Boeren-Leidse Kaasmakers ,"Farmers Leiden, Leidse kaas, Leyden cheese, Boeren-Leidse kaas, Boeren-Leidse, cumin cheese, Leyden, Boeren-Leidse met sleutels, Boeren Leidenkaas",
Bohemian Blue,pasteurized sheep's milk,United States,Southwestern Wisconsin,Blue,"firm, artisan",,,,"creamy, crumbly and dry",rindless,white,"piquant, sour, sweet",sweet, no ,Hidden Springs Company,,
Boivin Extra Aged Cheddar,pasteurized cow's milk,Canada,Quebec,Cheddar,hard,,,,firm and smooth,rindless,straw,"acidic, buttery",,,La Fromagerie Boivin,,
Boivin Marbled Cheddar,pasteurized cow's milk,Canada,Quebec,Cheddar,"semi-soft, processed",, 31%,,firm and smooth,rindless,golden orange,"mild, salty, sweet",buttery,,La Fromagerie Boivin,,
Boivin Medium Cheddar,pasteurized cow's milk,Canada,Quebec,Cheddar,semi-hard,,,,firm and smooth,rindless,pale yellow,"acidic, buttery",,,La Fromagerie Boivin,,
Bonchester,unpasteurized cow's milk,Scotland and United Kingdom,Roxburghshire,,"soft, artisan",,20%,,close and smooth,natural,yellow,mild,grassy, no ,,,
Bonifaz,pasteurized cow's milk,Germany,,,soft,,43.3 g/100g,430 mg/100g,creamy and soft,natural,cream,"creamy, garlicky, herbaceous, mild, milky, mushroomy, spicy",, no ,Bergader Privatkäserei GmbH,,
Bonne Bouche,pasteurized goat's milk,United States,Vermont,,soft,,21%,,"creamy, fluffy and smooth",mold ripened ,ivory,"citrusy, grassy",yeasty,yes ,Vermont Creamery,,
Boo Boo Baby Swiss,unpasteurized cow's milk,United States,Utah,Swiss Cheese,"hard, artisan",,,,"crumbly, firm and open",natural,yellow,"nutty, sweet","milky, pleasant", no ,Rockhill Creamery,,
Bootlegger,pasteurized cow's and sheep's milk,Canada and Italy,Lombardy,,"hard, artisan",,,,crumbly and firm,natural,pale yellow,"fruity, full-flavored, strong",floral,,Fifth Town Artisan Cheese,,
Bossa,pasteurized sheep's milk,United States,Missouri,,"semi-soft, artisan",,,,"creamy, firm and spreadable",washed,cream,"floral, meaty",stinky,yes ,Green Dirt Farm,,
Bosworth,pasteurized goat's milk,England and United Kingdom,Staffordshire,,"soft, artisan",,45%,,crumbly,mold ripened ,white,"mild, salty, sweet","aromatic, goaty",yes ,Highfields Farm Dairy,,"Bosworth Ash Log, Bosworth Leaf"
Bothwell Black Truffle Cheddar,pasteurized cow's milk,Canada,Manitoba,Cheddar,semi-hard,,,,firm,rindless,pale yellow,"earthy, fruity","buttery, rich",,Bothwell Cheese Inc.,,
Bougon,pasteurized or unpasteurized goat's milk,France,,,"soft, artisan",,50%,,firm,bloomy,white,acidic,fresh, no ,,,
Boulder Chevre,pasteurized goat's milk,United States,Colorado,,"semi-soft, artisan",,5 g/100g,,"creamy, crumbly and firm",rindless,white,"citrusy, grassy, tangy","clean, fresh",yes ,Haystack Mountain Goat Dairy,,
Boule Du Roves,unpasteurized goat's milk,France,,,"soft, artisan",,,,creamy,natural,white,,fresh, no ,,,
Boulette d'Avesnes,pasteurized cow's milk,France,Avesnes,,fresh soft,,45%,,creamy and smooth,washed,,spicy,stinky,yes ,,,
Bourdin Goat Log,goat's milk,France,,Cottage,soft,,,,creamy and soft,rindless,,"creamy, tangy",fresh,,,"Chevre by Bourdin, Bourdin Chevre",
Boursault,pasteurized cow's milk,France,Val-de-Marne,Brie,"soft, soft-ripened",,75%,,"creamy, smooth and spreadable",bloomy,yellow,"buttery, citrusy, nutty, salty",earthy, no ,,"Lucullus, Grand Vatel, Boursault Chèvre, Délice de Saint-Cyr",
Boursin,pasteurized cow's milk,France,Croisy-sur-Eure,,"soft, processed",,60%,,"creamy, crumbly and spreadable",rindless,white,"buttery, full-flavored, herbaceous, smooth","fresh, strong",yes ,Boursin Bel UK Ltd,Gournay cheese,
Bouyssou,cow's milk,France,Aveyron,,soft,,,,,,,fruity,, no ,,,
Bra,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Italy,Piedmont,,hard,,35%,,firm,natural,pale yellow,"salty, savory",, no ,,,
Braudostur,cow's milk,Iceland,,,semi-hard,,25%,,,,,sweet,strong, no ,,,
Breakfast Cheese,pasteurized cow's milk,United States,California,,"fresh firm, soft-ripened",,7 g/100g,90 mg/100g,dense and firm,rindless,white,"citrusy, tangy",fresh,yes ,Marin French Cheeese Co. ,Petite Breakfast,
Brebirousse d'Argental,pasteurized sheep's milk,France,Rhone-Alpes,Brie,"soft, soft-ripened",,,,creamy,bloomy,orange,"buttery, creamy, mushroomy, sweet, tangy",grassy,,,,
Brebis d'Azure,pasteurized sheep's milk,Canada and Italy,Lombardy,Blue,"semi-hard, artisan, blue-veined",,,,soft,natural,pale yellow,sharp,aromatic,,Fifth Town Artisan Cheese,,
